Name,Address,Section,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,HW 1,HW 2,HW 3,HW 4,HW 5,HW 6,HW 7,HW 8,HW 9,HW 10,HW 11,HW 12,Project 1,Project 2,Exam 1,Exam 2,Exam 3
"Coldivar, Vikram","491 Cielito Dr, Velma OK, 73491",4,87.1,71.8,58.1,81.1,51.3,79.1,50.0,58.9,63.7,86.0,61.4,100,87.9,42.5,68.3,80.9,93.3,70.1,77.7,75.8,53.6,54.3,75.6,54.6,70.7,54.1,36.1
"Gommer, Blake","58 Entrada Ct, East Meredith NY, 13757",10,45.1,68.3,60.6,51.5,64.0,64.1,86.5,63.2,54.5,51.2,100,17.0,100,100,100,49.6,48.7,67.0,94.7,84.5,61.9,100,83.6,55.0,100,79.1,75.6
"Garrick, Taja","104 Scenic Way, Mandeville LA, 70471",10,100,64.8,31.1,100,61.5,89.8,64.1,49.8,88.5,50.7,96.7,77.7,84.7,92.6,86.1,69.3,82.0,42.7,73.4,89.6,100,100,45.6,93.4,96.6,85.5,87.8
"Derrick, Lynzee","218 Finley Rd, Kettle Island KY, 40958",4,55.9,87.1,62.8,91.0,45.1,100,73.9,100,63.4,92.5,90.1,60.9,96.1,46.4,100,70.8,84.6,36.6,93.3,82.6,84.2,48.7,19.7,57.0,75.2,94.3,94.1
"Zagar, Leon","420 Schofield Rd, Register GA, 30452",7,99.9,84.8,47.4,100,93.9,74.0,52.7,93.3,48.7,73.1,92.1,14.5,100,58.5,100,42.5,87.5,96.8,100,81.1,82.9,65.4,59.8,71.6,59.0,42.4,75.2
"Vermette, Sherrie","271 Waltham St, Coventry RI, 2816",8,3.3,60.3,79.1,100,90.2,100,38.0,100,55.7,57.6,70.1,67.7,100,100,70.0,52.7,65.7,89.2,45.7,89.2,84.1,93.0,63.4,63.1,73.0,83.6,80.5
"Mcmanamon, Jacintha","881 Vinton Ct, Datil NM, 87821",7,74.7,87.6,92.5,100,89.5,100,100,52.8,58.9,100,94.1,45.5,83.8,71.2,43.7,94.0,57.8,100,79.3,87.5,100,50.4,52.9,88.7,79.3,100,39.6
"Tietz, Chelse","442 Crestlake Dr, Apt. 53, Mill Creek IN, 46365",3,42.2,65.9,81.9,55.3,46.3,61.1,75.4,100,68.9,77.4,92.7,65.9,90.5,66.6,85.4,100,74.2,95.0,35.6,84.9,74.9,62.1,79.4,100,95.2,81.6,
"Weidenheimer, Nefertiti","741 Matthew Ct, Wapakoneta OH, 45895",3,59.0,52.9,50.2,51.1,41.7,55.9,26.2,87.6,100,53.9,49.3,87.0,87.6,68.6,36.7,74.4,80.7,14.1,59.3,97.4,100,90.2,100,79.1,92.2,78.5,84.7
"Jurina, Devonta","451 Hampshire St, New Port Richey FL, 34655",1,51.5,100,76.1,100,95.3,93.5,100,100,76.9,90.2,89.8,93.2,99.8,65.6,63.0,52.4,80.5,28.6,71.6,68.8,76.5,62.2,62.7,44.4,83.5,82.9,59.3
"Borgert, Chinita","910 Sierra St, Raleigh NC, 27612",1,100,48.4,100,100,75.8,65.2,73.8,74.9,56.1,78.3,77.5,100,85.8,71.7,45.4,40.3,83.0,60.3,100,100,100,96.5,44.1,54.5,90.4,95.0,62.6
"Lott, Christena","732 La Playa, Tullos LA, 71479",6,58.6,76.8,78.5,99.9,100,38.0,76.4,40.2,100,95.8,85.1,84.5,95.7,87.6,87.5,71.3,54.5,100,100,86.9,72.8,65.1,80.8,60.7,52.2,81.1,38.1
